	feature	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2
GENE04:E003	E	external	GENE04	-	NA	reference:3001-3800	3501	3800	300	0.553333333333333	0.616666666666667	0.653333333333333	0.696666666666667	0.623333333333333	0.666666666666667	0.61	0.66	0.613333333333333	0.78	0.673333333333333	0.74	1.14909478168264	1.18941641938675	1.21333333333333	1.38058943089431	1.19518190757129	1.3013013013013	1.16275659824047	1.22571428571429	1.29018338727077	1.44034090909091	1.37631027253669	1.45757575757576
GENE05:E001	E	external	GENE05	-	NA	reference:4001-4800	4001	4250	250	0.728	0.8	0.74	0.76	0.7	0.708	0.704	0.864	0.676	0.748	0.804	0.636	1.55657894736842	1.43646408839779	1.44011976047904	1.42774566473988	1.45833333333333	1.34561403508772	1.49542483660131	1.5219512195122	1.352	1.4868501529052	1.45977653631285	1.31238095238095
GENE05:E002	E	Alt5ss	GENE05	-	NA	reference:4001-4800	4251	4350	100	0.6	0.68	0.73	0.23	0.19	0.23	0.56	0.77	0.59	0.71	0.68	0.68	1.28289473684211	1.22099447513812	1.42065868263473	0.432080924855491	0.395833333333333	0.437134502923977	1.18954248366013	1.35636856368564	1.18	1.41131498470948	1.23463687150838	1.4031746031746
GENE05:E003	E	Alt3ss	GENE05	-	NA	reference:4001-4800	4501	4600	100	0.78	0.98	0.77	1.23	1.16	1.24	0.77	0.89	0.8	0.76	0.79	0.72	1.66776315789474	1.75966850828729	1.49850299401198	2.3106936416185	2.41666666666667	2.35672514619883	1.63562091503268	1.56775067750678	1.6	1.51070336391437	1.43435754189944	1.48571428571429
GENE05:E004	E	external	GENE05	-	NA	reference:4001-4800	4601	4800	200	0.605	0.81	0.735	0.78	0.685	0.825	0.645	0.765	0.77	0.69	0.785	0.775	1.29358552631579	1.45441988950276	1.43038922155689	1.46531791907514	1.42708333333333	1.56798245614035	1.37009803921569	1.34756097560976	1.54	1.37155963302752	1.42527932960894	1.59920634920635
GENE06:E001	E	external	GENE06	-	NA	reference:5001-5800	5001	5250	250	0.724	0.72	0.696	0.584	0.696	0.672	0.748	0.776	0.68	0.896	0.752	0.72	1.38411764705882	1.44	1.35044776119403	1.18255451713396	1.33058823529412	1.28849557522124	1.39712643678161	1.46627906976744	1.43506493506494	1.664	1.53710691823899	1.40963855421687
GENE06:E002	E	Alt5ss*	GENE06	-	NA	reference:5001-5800	5251	5350	100	1.23	1.19	1.19	0.85	1.06	1.02	1.05	1.18	1.21	0.78	0.6	0.7	2.35147058823529	2.38	2.3089552238806	1.72118380062305	2.02647058823529	1.95575221238938	1.96120689655172	2.2296511627907	2.55357142857143	1.44857142857143	1.22641509433962	1.37048192771084
GENE06:E003	E	Alt5ss*	GENE06	-	NA	reference:5001-5800	5351	5450	100	0.78	0.71	0.62	0.56	0.7	0.77	0.39	0.33	0.3	0.53	0.55	0.63	1.49117647058824	1.42	1.20298507462687	1.13395638629284	1.33823529411765	1.476401179941	0.728448275862069	0.623546511627907	0.633116883116883	0.984285714285714	1.12421383647799	1.23343373493976
GENE06:E004	E	external	GENE06	-	NA	reference:5001-5800	5601	5800	200	0.71	0.575	0.67	0.85	0.73	0.765	0.775	0.74	0.685	0.705	0.66	0.81	1.35735294117647	1.15	1.3	1.72118380062305	1.39558823529412	1.46681415929204	1.44755747126437	1.39825581395349	1.44561688311688	1.30928571428571	1.34905660377358	1.58584337349398
GENE07:E001	E	external	GENE07	-	NA	reference:6001-6800	6001	6250	250	0.892	0.736	0.724	0.744	0.768	0.728	0.668	0.652	0.84	0.848	0.76	0.744	1.56280323450135	1.53826366559486	1.47987421383648	1.49259259259259	1.4990990990991	1.37959183673469	1.336	1.33270440251572	1.52941176470588	1.55706214689266	1.52941176470588	1.49721362229102
GENE07:E003	E	ES*	GENE07	-	NA	reference:6001-6800	6351	6450	100	1.02	0.9	0.99	0.99	1.08	1.2	1.13	1.05	1.1	0.72	0.68	0.71	1.78706199460916	1.88102893890675	2.02358490566038	1.98611111111111	2.10810810810811	2.27405247813411	2.26	2.14622641509434	2.00280112044818	1.32203389830508	1.36842105263158	1.42879256965944
GENE07:E004	E	external	GENE07	-	NA	reference:6001-6800	6601	6800	200	0.805	0.69	0.695	0.675	0.67	0.7	0.78	0.795	0.805	0.825	0.765	0.77	1.41037735849057	1.44212218649518	1.42059748427673	1.35416666666667	1.30780780780781	1.3265306122449	1.56	1.625	1.4656862745098	1.51483050847458	1.53947368421053	1.54953560371517
GENE08:E001	E	external	GENE08	-	NA	reference:7001-7800	7001	7250	250	0.66	0.624	0.704	0.632	0.628	0.632	0.548	0.556	0.628	0.812	0.712	0.772	1.62962962962963	1.47692307692308	1.66627218934911	1.47836257309942	1.52705167173252	1.53677811550152	1.36149068322981	1.33975903614458	1.45202312138728	1.85071225071225	1.86143790849673	1.80058309037901
GENE08:E003	E	Undefined AS	GENE08	-	NA	reference:7001-7800	7351	7450	100	0.91	0.98	0.86	1.18	1.03	1.07	1.15	1.08	1.06	0.69	0.49	0.62	2.24691358024691	2.31952662721893	2.03550295857988	2.76023391812865	2.50455927051672	2.60182370820669	2.85714285714286	2.60240963855422	2.45086705202312	1.57264957264957	1.28104575163399	1.44606413994169
GENE08:E005	E	external	GENE08	-	NA	reference:7001-7800	7601	7800	200	0.615	0.79	0.705	0.69	0.555	0.605	0.61	0.64	0.595	0.785	0.71	0.76	1.51851851851852	1.8698224852071	1.66863905325444	1.6140350877193	1.34954407294833	1.47112462006079	1.51552795031056	1.5421686746988	1.3757225433526	1.78917378917379	1.8562091503268	1.77259475218659
GENE09:E001	E	external	GENE09	-	NA	reference:8001-8800	8001	8250	250	0.436	0.54	0.448	0.504	0.5	0.524	0.46	0.484	0.5	0.516	0.504	0.56	1.11082802547771	1.1900826446281	1.10959752321981	1.12	1.17647058823529	1.39733333333333	1.12538226299694	1.18409785932722	1.15606936416185	1.25090909090909	1.19643916913947	1.34534534534535
GENE09:E003	E	-	GENE09	-	NA	reference:8001-8800	8351	8450	100	1.21	1.21	1.11	1.35	1.22	0.89	1	1.11	1.12	1.1	1.05	0.98	3.0828025477707	2.66666666666667	2.74922600619195	3	2.87058823529412	2.37333333333333	2.44648318042813	2.71559633027523	2.58959537572254	2.66666666666667	2.49258160237389	2.35435435435435
GENE09:E005	E	external	GENE09	-	NA	reference:8001-8800	8601	8800	200	0.495	0.6	0.56	0.63	0.57	0.425	0.58	0.5	0.565	0.52	0.58	0.525	1.26114649681529	1.32231404958678	1.38699690402477	1.4	1.34117647058824	1.13333333333333	1.41896024464832	1.22324159021407	1.30635838150289	1.26060606060606	1.37685459940653	1.26126126126126
GENE10:E001	E	external	GENE10	-	NA	reference:9001-9800	9001	9250	250	0.604	0.544	0.576	0.5	0.624	0.588	0.6	0.652	0.516	0.596	0.5	0.536	1.38452722063037	1.35155279503106	1.40060790273556	1.21212121212121	1.52660550458716	1.37142857142857	1.43283582089552	1.56167664670659	1.24712990936556	1.33557422969188	1.21580547112462	1.3656050955414
GENE10:E003	E	Alt3ss*	GENE10	-	NA	reference:9001-9800	9351	9450	100	0.84	0.82	0.83	0.61	0.64	0.54	0.56	0.75	0.76	0.67	0.72	0.52	1.92550143266476	2.03726708074534	2.01823708206687	1.47878787878788	1.56574923547401	1.25947521865889	1.33731343283582	1.79640718562874	1.8368580060423	1.50140056022409	1.75075987841945	1.32484076433121
GENE10:E004	E	external	GENE10	-	NA	reference:9001-9800	9451	9800	350	0.528571428571429	0.488571428571429	0.48	0.591428571428571	0.517142857142857	0.554285714285714	0.574285714285714	0.545714285714286	0.611428571428571	0.54	0.537142857142857	0.517142857142857	1.2116250511666	1.21384205856256	1.16717325227964	1.43376623376623	1.26518130187855	1.29279466888796	1.37142857142857	1.3071000855432	1.4777729823047	1.21008403361345	1.30612244897959	1.31756141947225
